gear_teeth,pinion_teeth,geometry_factor_I,estimated_flag,note
15,13,0.0558,True,Approximate digitization from Figure 15-6
15,14,0.056,True,Approximate digitization from Figure 15-6
15,15,0.0561,True,Approximate digitization from Figure 15-6
20,13,0.0626,True,Approximate digitization from Figure 15-6
20,15,0.0638,True,Approximate digitization from Figure 15-6
20,17,0.0642,True,Approximate digitization from Figure 15-6
20,20,0.0619,True,Approximate digitization from Figure 15-6
25,13,0.065,True,Approximate digitization from Figure 15-6
25,15,0.0667,True,Approximate digitization from Figure 15-6
25,18,0.0685,True,Approximate digitization from Figure 15-6
25,21,0.0684,True,Approximate digitization from Figure 15-6
25,25,0.065,True,Approximate digitization from Figure 15-6
30,13,0.0672,True,Approximate digitization from Figure 15-6
30,16,0.0696,True,Approximate digitization from Figure 15-6
30,20,0.0721,True,Approximate digitization from Figure 15-6
30,24,0.0731,True,Approximate digitization from Figure 15-6
30,27,0.071,True,Approximate digitization from Figure 15-6
30,30,0.0668,True,Approximate digitization from Figure 15-6
35,13,0.0678,True,Approximate digitization from Figure 15-6
35,16,0.071,True,Approximate digitization from Figure 15-6
35,20,0.0745,True,Approximate digitization from Figure 15-6
35,24,0.0768,True,Approximate digitization from Figure 15-6
35,29,0.075,True,Approximate digitization from Figure 15-6
35,32,0.0718,True,Approximate digitization from Figure 15-6
35,35,0.067,True,Approximate digitization from Figure 15-6
40,13,0.0688,True,Approximate digitization from Figure 15-6
40,17,0.0728,True,Approximate digitization from Figure 15-6
40,22,0.0776,True,Approximate digitization from Figure 15-6
40,27,0.08,True,Approximate digitization from Figure 15-6
40,32,0.0792,True,Approximate digitization from Figure 15-6
40,36,0.0762,True,Approximate digitization from Figure 15-6
40,40,0.0693,True,Approximate digitization from Figure 15-6
45,13,0.0692,True,Approximate digitization from Figure 15-6
45,18,0.074,True,Approximate digitization from Figure 15-6
45,24,0.0795,True,Approximate digitization from Figure 15-6
45,30,0.0812,True,Approximate digitization from Figure 15-6
45,36,0.0805,True,Approximate digitization from Figure 15-6
45,41,0.077,True,Approximate digitization from Figure 15-6
45,45,0.07,True,Approximate digitization from Figure 15-6
50,13,0.0698,True,Approximate digitization from Figure 15-6
50,19,0.0752,True,Approximate digitization from Figure 15-6
50,26,0.0804,True,Approximate digitization from Figure 15-6
50,33,0.0826,True,Approximate digitization from Figure 15-6
50,39,0.0805,True,Approximate digitization from Figure 15-6
50,44,0.076,True,Approximate digitization from Figure 15-6
50,50,0.073,True,Approximate digitization from Figure 15-6
60,13,0.0762,True,Approximate digitization from Figure 15-6
60,18,0.0825,True,Approximate digitization from Figure 15-6
60,20,0.0825,True,Refined Figure 15-6 point added from Example 15-2 textbook value
60,24,0.0878,True,Approximate digitization from Figure 15-6
60,31,0.0895,True,Approximate digitization from Figure 15-6
60,38,0.089,True,Approximate digitization from Figure 15-6
60,44,0.0874,True,Approximate digitization from Figure 15-6
60,50,0.082,True,Approximate digitization from Figure 15-6
70,13,0.082,True,Approximate digitization from Figure 15-6
70,18,0.0892,True,Approximate digitization from Figure 15-6
70,24,0.0938,True,Approximate digitization from Figure 15-6
70,32,0.096,True,Approximate digitization from Figure 15-6
70,40,0.0955,True,Approximate digitization from Figure 15-6
70,45,0.0942,True,Approximate digitization from Figure 15-6
70,50,0.0896,True,Approximate digitization from Figure 15-6
80,13,0.0848,True,Approximate digitization from Figure 15-6
80,18,0.0935,True,Approximate digitization from Figure 15-6
80,24,0.099,True,Approximate digitization from Figure 15-6
80,32,0.101,True,Approximate digitization from Figure 15-6
80,40,0.1012,True,Approximate digitization from Figure 15-6
80,45,0.1002,True,Approximate digitization from Figure 15-6
80,50,0.096,True,Approximate digitization from Figure 15-6
90,13,0.087,True,Approximate digitization from Figure 15-6
90,18,0.096,True,Approximate digitization from Figure 15-6
90,24,0.1015,True,Approximate digitization from Figure 15-6
90,32,0.104,True,Approximate digitization from Figure 15-6
90,40,0.1046,True,Approximate digitization from Figure 15-6
90,45,0.104,True,Approximate digitization from Figure 15-6
90,50,0.1,True,Approximate digitization from Figure 15-6
100,13,0.0886,True,Approximate digitization from Figure 15-6
100,18,0.098,True,Approximate digitization from Figure 15-6
100,24,0.104,True,Approximate digitization from Figure 15-6
100,32,0.107,True,Approximate digitization from Figure 15-6
100,40,0.108,True,Approximate digitization from Figure 15-6
100,45,0.1078,True,Approximate digitization from Figure 15-6
100,50,0.106,True,Approximate digitization from Figure 15-6
