material,friction_coefficient_min,friction_coefficient_max,friction_coefficient_note,pmax_psi_min,pmax_psi_max,instantaneous_temp_F_min,instantaneous_temp_F_max,continuous_temp_F_min,continuous_temp_F_max,vmax_ft_per_min_min,vmax_ft_per_min_max,vmax_note,applications
Cermet,0.32,0.32,,150,150,1500,1500,750,750,,,,Brakes and clutches
Sintered metal (dry),0.29,0.33,,300,400,930,1020,570,660,3600,3600,,Clutches and caliper disk brakes
Sintered metal (wet),0.06,0.08,,500,500,930,930,570,570,3600,3600,,Clutches
Rigid molded asbestos (dry),0.35,0.41,,100,100,660,750,350,350,3600,3600,,Drum brakes and clutches
Rigid molded asbestos (wet),0.06,0.06,,300,300,660,660,350,350,3600,3600,,Industrial clutches
Rigid molded asbestos pads,0.31,0.49,,750,750,930,1380,440,660,4800,4800,,Disk brakes
Rigid molded nonasbestos,0.33,0.63,,100,150,,,500,750,4800,7500,,Clutches and brakes
Semirigid molded asbestos,0.37,0.41,,100,100,660,660,300,300,3600,3600,,Clutches and brakes
Flexible molded asbestos,0.39,0.45,,100,100,660,750,300,350,3600,3600,,Clutches and brakes
Wound asbestos yarn and wire,0.38,0.38,,100,100,660,660,300,300,3600,3600,,Vehicle clutches
Woven asbestos yarn and wire,0.38,0.38,,100,100,500,500,260,260,3600,3600,,Industrial clutches and brakes
Woven cotton,0.47,0.47,,100,100,230,230,170,170,3600,3600,,Industrial clutches and brakes
Resilient paper (wet),0.09,0.15,,400,400,300,300,,,,,PV < 500000 psi·ft/min,Clutches and transmission bands
