section,inside_circumference_in
A,26
A,31
A,33
A,35
A,38
A,42
A,46
A,48
A,51
A,53
A,55
A,57
A,60
A,62
A,64
A,66
A,68
A,71
A,75
A,78
A,80
A,85
A,90
A,96
A,105
A,112
A,120
A,128
B,35
B,38
B,42
B,46
B,48
B,51
B,53
B,55
B,57
B,60
B,62
B,64
B,65
B,66
B,68
B,71
B,75
B,78
B,79
B,81
B,83
B,85
B,90
B,93
B,97
B,100
B,103
B,105
B,112
B,120
B,128
B,131
B,136
B,144
B,158
B,173
B,180
B,195
B,210
B,240
B,270
B,300
C,51
C,60
C,68
C,75
C,81
C,85
C,90
C,96
C,105
C,112
C,120
C,128
C,136
C,144
C,158
C,162
C,173
C,180
C,195
C,210
C,240
C,270
C,300
C,330
C,360
C,390
C,420
D,120
D,128
D,144
D,158
D,162
D,173
D,180
D,195
D,210
D,240
D,270
D,300
D,330
D,360
D,390
D,420
D,480
D,540
D,600
D,660
E,180
E,195
E,210
E,240
E,270
E,300
E,330
E,360
E,390
E,420
E,480
E,540
E,600
E,660
