belt_section,sheave_pitch_diameter_in,and_up,hp_1000,hp_2000,hp_3000,hp_4000,hp_5000
A,2.6,False,0.47,0.62,0.53,0.15,
A,3.0,False,0.66,1.01,1.12,0.93,0.38
A,3.4,False,0.81,1.31,1.57,1.53,1.12
A,3.8,False,0.93,1.55,1.92,2.0,1.71
A,4.2,False,1.03,1.74,2.2,2.38,2.19
A,4.6,False,1.11,1.89,2.44,2.69,2.58
A,5.0,True,1.17,2.03,2.64,2.96,2.89
B,4.2,False,1.07,1.58,1.68,1.26,0.22
B,4.6,False,1.27,1.99,2.29,2.08,1.24
B,5.0,False,1.44,2.33,2.8,2.76,2.1
B,5.4,False,1.59,2.62,3.24,3.34,2.82
B,5.8,False,1.72,2.87,3.61,3.85,3.45
B,6.2,False,1.82,3.09,3.94,4.28,4.0
B,6.6,False,1.92,3.29,4.23,4.67,4.48
B,7.0,True,2.01,3.46,4.49,5.01,4.9
C,6.0,False,1.84,2.66,2.72,1.87,
C,7.0,False,2.48,3.94,4.64,4.44,3.12
C,8.0,False,2.96,4.9,6.09,6.36,5.52
C,9.0,False,3.34,5.65,7.21,7.86,7.39
C,10.0,False,3.64,6.25,8.11,9.06,8.89
C,11.0,False,3.88,6.74,8.84,10.0,10.1
C,12.0,True,4.09,7.15,9.46,10.9,11.1
D,10.0,False,4.14,6.13,6.55,5.09,1.35
D,11.0,False,5.0,7.83,9.11,8.5,5.62
D,12.0,False,5.71,9.26,11.2,11.4,9.18
D,13.0,False,6.31,10.5,13.0,13.8,12.2
D,14.0,False,6.82,11.5,14.6,15.8,14.8
D,15.0,False,7.27,12.4,15.9,17.6,17.0
D,16.0,False,7.66,13.2,17.1,19.2,19.0
D,17.0,True,8.01,13.9,18.1,20.6,20.7
E,16.0,False,8.68,14.0,17.5,18.1,15.3
E,18.0,False,9.92,16.7,21.2,23.0,21.5
E,20.0,False,10.9,18.7,24.2,26.9,26.4
E,22.0,False,11.7,20.3,26.6,30.2,30.5
E,24.0,False,12.4,21.6,28.6,32.9,33.8
E,26.0,False,13.0,22.8,30.3,35.1,36.7
E,28.0,True,13.4,23.7,31.8,37.1,39.1
