length_factor,belt_section,min_length_in,max_length_in,type
0.85,A,,35,up_to
0.85,B,,46,up_to
0.85,C,,75,up_to
0.85,D,,128,up_to
0.9,A,38,46,range
0.9,B,48,60,range
0.9,C,81,96,range
0.9,D,144,162,range
0.9,E,,195,up_to
0.95,A,48,55,range
0.95,B,62,75,range
0.95,C,105,120,range
0.95,D,173,210,range
0.95,E,210,240,range
1.0,A,60,75,range
1.0,B,78,97,range
1.0,C,128,158,range
1.0,D,240,240,single
1.0,E,270,300,range
1.05,A,78,90,range
1.05,B,105,120,range
1.05,C,162,195,range
1.05,D,270,330,range
1.05,E,330,390,range
1.1,A,96,112,range
1.1,B,128,144,range
1.1,C,210,240,range
1.1,D,360,420,range
1.1,E,420,480,range
1.15,A,120,,and_up
1.15,B,158,180,range
1.15,C,270,300,range
1.15,D,480,480,single
1.15,E,540,600,range
1.2,B,195,,and_up
1.2,C,330,,and_up
1.2,D,540,,and_up
1.2,E,660,660,single
