ansi_chain_number,pitch_in,pitch_mm,width_in,width_mm,minimum_tensile_strength_lbf,minimum_tensile_strength_N,average_weight_lbf_per_ft,average_weight_N_per_m,roller_diameter_in,roller_diameter_mm,multiple_strand_spacing_in,multiple_strand_spacing_mm,multiple_strand_spacing_available
25,0.25,6.35,0.125,3.18,780,3470,0.09,1.31,0.13,3.3,0.252,6.4,True
35,0.375,9.52,0.188,4.76,1760,7830,0.21,3.06,0.2,5.08,0.399,10.13,True
41,0.5,12.7,0.25,6.35,1500,6670,0.25,3.65,0.306,7.77,,,False
40,0.5,12.7,0.312,7.94,3130,13920,0.42,6.13,0.312,7.92,0.566,14.38,True
50,0.625,15.88,0.375,9.52,4880,21700,0.69,10.1,0.4,10.16,0.713,18.11,True
60,0.75,19.05,0.5,12.7,7030,31300,1.0,14.6,0.469,11.91,0.897,22.78,True
80,1.0,25.4,0.625,15.88,12500,55600,1.71,25.0,0.625,15.87,1.153,29.29,True
100,1.25,31.75,0.75,19.05,19500,86700,2.58,37.7,0.75,19.05,1.409,35.76,True
120,1.5,38.1,1.0,25.4,28000,124500,3.87,56.5,0.875,22.22,1.789,45.44,True
140,1.75,44.45,1.0,25.4,38000,169000,4.95,72.2,1.0,25.4,1.924,48.87,True
160,2.0,50.8,1.25,31.75,50000,222000,6.61,96.5,1.125,28.57,2.305,58.55,True
180,2.25,57.15,1.406,35.71,63000,280000,9.06,132.2,1.406,35.71,2.592,65.84,True
200,2.5,63.5,1.5,38.1,78000,347000,10.96,159.9,1.562,39.67,2.817,71.55,True
240,3.0,76.7,1.875,47.63,112000,498000,16.4,239.0,1.875,47.62,3.458,87.83,True
