material,specification,size_in,minimum_pulley_diameter_in,allowable_tension_per_unit_width_at_600_ft_per_min_lbf_per_in,specific_weight_lbf_per_in3,coefficient_of_friction,notes
Leather,1 ply,t = 11/64,3.0,30.0,0.035-0.045,0.4,
Leather,1 ply,t = 13/64,3.5,33.0,0.035-0.045,0.4,
Leather,2 ply,t = 18/64,4.5,41.0,0.035-0.045,0.4,
Leather,2 ply,t = 20/64,6.0,50.0,0.035-0.045,0.4,minimum pulley diameter marked with footnote a in source
Leather,2 ply,t = 23/64,9.0,60.0,0.035-0.045,0.4,minimum pulley diameter marked with footnote a in source
Polyamide,F-0,t = 0.03,0.6,10.0,0.035,0.5,material marked with footnote b; specification marked with footnote c in source
Polyamide,F-1,t = 0.05,1.0,35.0,0.035,0.5,specification marked with footnote c in source
Polyamide,F-2,t = 0.07,2.4,60.0,0.051,0.5,specification marked with footnote c in source
Polyamide,A-2,t = 0.11,2.4,60.0,0.037,0.8,specification marked with footnote c in source
Polyamide,A-3,t = 0.13,4.3,100.0,0.042,0.8,specification marked with footnote c in source
Polyamide,A-4,t = 0.20,9.5,175.0,0.039,0.8,specification marked with footnote c in source
Polyamide,A-5,t = 0.25,13.5,275.0,0.039,0.8,specification marked with footnote c in source
Urethane,w = 0.50 in,t = 0.062,See Table 17-3,5.2,0.038-0.045,0.7,allowable tension marked with footnote e in source; material marked with footnote d in source
Urethane,w = 0.75 in,t = 0.078,See Table 17-3,9.8,0.038-0.045,0.7,allowable tension marked with footnote e in source
Urethane,w = 1.25 in,t = 0.090,See Table 17-3,18.9,0.038-0.045,0.7,allowable tension marked with footnote e in source
Urethane,Round,d = 1/4,See Table 17-3,8.3,0.038-0.045,0.7,allowable tension marked with footnote e in source
Urethane,Round,d = 3/8,See Table 17-3,18.6,0.038-0.045,0.7,allowable tension marked with footnote e in source
Urethane,Round,d = 1/2,See Table 17-3,33.0,0.038-0.045,0.7,allowable tension marked with footnote e in source
Urethane,Round,d = 3/4,See Table 17-3,74.3,0.038-0.045,0.7,allowable tension marked with footnote e in source
