sprocket_speed_rpm,ansi_chain_number,hp_capacity,lubrication_type,estimated_flag
50,25,0.05,A,False
50,35,0.16,A,False
50,40,0.37,A,False
50,41,0.2,A,False
50,50,0.72,A,False
50,60,1.24,A,False
100,25,0.09,A,False
100,35,0.29,A,False
100,40,0.69,A,False
100,41,0.38,A,False
100,50,1.34,A,False
100,60,2.31,A,False
150,25,0.13,A,False
150,35,0.41,A,False
150,40,0.99,A,False
150,41,0.55,A,False
150,50,1.92,A,False
150,60,3.32,A,False
200,25,0.16,A,False
200,35,0.54,A,False
200,40,1.29,A,False
200,41,0.71,A,False
200,50,2.5,A,False
200,60,4.3,A,False
300,25,0.23,B,False
300,35,0.78,B,False
300,40,1.85,B,False
300,41,1.02,B,False
300,50,3.61,B,False
300,60,6.2,B,False
400,25,0.3,B,False
400,35,1.01,B,False
400,40,2.4,B,False
400,41,1.32,B,False
400,50,4.67,B,False
400,60,8.03,B,False
500,25,0.37,B,False
500,35,1.24,B,False
500,40,2.93,B,False
500,41,1.61,B,False
500,50,5.71,B,False
500,60,9.81,B,False
600,25,0.44,B,False
600,35,1.46,B,False
600,40,3.45,B,False
600,41,1.9,B,False
600,50,6.72,B,False
600,60,11.6,B,False
700,25,0.5,C,False
700,35,1.68,C,False
700,40,3.97,C,False
700,41,2.18,C,False
700,50,7.73,C,False
700,60,13.3,C,False
800,25,0.56,C,False
800,35,1.89,C,False
800,40,4.48,C,False
800,41,2.46,C,False
800,50,8.71,C,False
800,60,15.0,C,False
900,25,0.62,C,False
900,35,2.1,C,False
900,40,4.98,C,False
900,41,2.74,C,False
900,50,9.69,C,False
900,60,16.7,C,False
1000,25,0.68,C,False
1000,35,2.31,C,False
1000,40,5.48,C,False
1000,41,3.01,C,False
1000,50,10.7,C,False
1000,60,18.3,C,False
50,80,2.88,B,False
50,100,5.52,B,False
50,120,9.33,B,False
50,140,14.4,B,False
50,160,20.9,B,False
50,180,28.9,B,False
50,200,38.4,B,False
50,240,61.8,B,False
100,80,5.38,B,False
100,100,10.3,B,False
100,120,17.4,B,False
100,140,26.9,B,False
100,160,39.1,B,False
100,180,54.0,B,False
100,200,71.6,B,False
100,240,115,B,False
150,80,7.75,B,False
150,100,14.8,B,False
150,120,25.1,B,False
150,140,38.8,B,False
150,160,56.3,B,False
150,180,77.7,B,False
150,200,103,B,False
150,240,166,B,False
200,80,10.0,B,False
200,100,19.2,B,False
200,120,32.5,B,False
200,140,50.3,B,False
200,160,72.9,B,False
200,180,101,B,False
200,200,134,B,False
200,240,215,B,False
300,80,14.5,B,False
300,100,27.7,B,False
300,120,46.8,B,False
300,140,72.4,B,False
300,160,105,B,False
300,180,145,B,False
300,200,193,B,False
300,240,310,B,False
400,80,18.7,B,False
400,100,35.9,B,False
400,120,60.6,B,False
400,140,93.8,B,False
400,160,136,B,False
400,180,188,B,False
400,200,249,B,False
400,240,359,B,False
500,80,22.9,B,False
500,100,43.9,B,False
500,120,74.1,B,False
500,140,115,B,False
500,160,166,B,False
500,180,204,B,False
500,200,222,B,False
600,80,27.0,B,False
600,100,51.7,B,False
600,120,87.3,B,False
600,140,127,B,False
600,160,141,B,False
600,180,155,B,False
600,200,169,B,False
700,80,31.0,C,False
700,100,59.4,C,False
700,120,89.0,C,False
700,140,101,C,False
700,160,112,C,False
700,180,123,C,False
800,80,35.0,C,False
800,100,63.0,C,False
800,120,72.8,C,False
800,140,82.4,C,False
800,160,91.7,C,False
800,180,101,C,False
900,80,39.9,C,False
900,100,52.8,C,False
900,120,61.0,C,False
900,140,69.1,C,False
900,160,76.8,C,False
900,180,84.4,C,False
1000,80,37.7,C,False
1000,100,45.0,C,False
1000,120,52.1,C,False
1000,140,59.0,C,False
1000,160,65.6,C,False
1000,180,72.1,C,False
1200,80,28.7,C,False
1200,100,34.3,C,False
1200,120,39.6,C,False
1200,140,44.9,C,False
1200,160,49.9,C,False
1400,80,22.7,C,False
1400,100,27.2,C,False
1400,120,31.5,C,False
1400,140,35.6,C,False
1600,80,18.6,C,False
1600,100,22.3,C,False
1600,120,25.8,C,False
1800,80,15.6,C,False
1800,100,18.7,C,False
1800,120,21.6,C,False
2000,80,13.3,C,False
2000,100,15.9,C,False
2500,80,9.56,C,False
2500,100,0.4,C,False
3000,80,7.25,C,False
