ansi_chain_number,tooth_count
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,25
25,26
25,27
25,28
25,29
25,30
25,32
25,34
25,35
25,36
25,40
25,42
25,45
25,48
25,54
25,60
25,64
25,65
25,70
25,72
25,76
25,80
25,84
25,90
25,95
25,96
25,102
25,112
25,120
35,4
35,5
35,6
35,7
35,8
35,9
35,10
35,11
35,12
35,13
35,14
35,15
35,16
35,17
35,18
35,19
35,20
35,21
35,22
35,23
35,24
35,25
35,26
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
35,35
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,43
35,44
35,45
35,48
35,52
35,54
35,60
35,64
35,65
35,68
35,70
35,72
35,76
35,80
35,84
35,90
35,95
35,96
35,102
35,112
35,120
41,6
41,7
41,8
41,9
41,10
41,11
41,12
41,13
41,14
41,15
41,16
41,17
41,18
41,19
41,20
41,21
41,22
41,23
41,24
41,25
41,26
41,27
41,28
41,29
41,30
41,31
41,32
41,33
41,34
41,35
41,36
41,37
41,38
41,39
41,40
41,41
41,42
41,43
41,44
41,45
41,46
41,47
41,48
41,49
41,50
41,51
41,52
41,53
41,54
41,55
41,56
41,57
41,58
41,59
41,60
41,64
41,65
41,68
41,70
41,72
41,76
41,80
41,84
41,90
41,95
41,96
41,102
41,112
41,120
40,8
40,9
40,10
40,11
40,12
40,13
40,14
40,15
40,16
40,17
40,18
40,19
40,20
40,21
40,22
40,23
40,24
40,25
40,26
40,27
40,28
40,29
40,30
40,31
40,32
40,33
40,34
40,35
40,36
40,37
40,38
40,39
40,40
40,41
40,42
40,43
40,44
40,45
40,46
40,47
40,48
40,49
40,50
40,51
40,52
40,53
40,54
40,55
40,56
40,57
40,58
40,59
40,60
40,64
40,65
40,68
40,70
40,72
40,76
40,80
40,84
40,90
40,95
40,96
40,102
40,112
40,120
50,8
50,9
50,10
50,11
50,12
50,13
50,14
50,15
50,16
50,17
50,18
50,19
50,20
50,21
50,22
50,23
50,24
50,25
50,26
50,27
50,28
50,29
50,30
50,31
50,32
50,33
50,34
50,35
50,36
50,37
50,38
50,39
50,40
50,41
50,42
50,43
50,44
50,45
50,46
50,47
50,48
50,49
50,50
50,51
50,52
50,53
50,54
50,55
50,56
50,57
50,58
50,59
50,60
50,64
50,65
50,68
50,70
50,72
50,76
50,80
50,84
