sliding_velocity_ft_per_min,friction_coefficient_curve_A,friction_coefficient_curve_B,curve_A_material_case,curve_B_material_case,notes
100,0.0820,0.0630,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
200,0.0650,0.0470,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
300,0.0565,0.0405,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
400,0.0500,0.0350,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
500,0.0455,0.0318,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
600,0.0420,0.0295,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
700,0.0398,0.0282,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
800,0.0380,0.0270,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
900,0.0365,0.0260,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1000,0.0352,0.0250,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1100,0.0342,0.0242,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1200,0.0332,0.0235,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1300,0.0322,0.0230,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1400,0.0312,0.0225,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1500,0.0304,0.0221,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1600,0.0295,0.0217,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1700,0.0288,0.0214,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1800,0.0280,0.0212,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
1900,0.0272,0.0210,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
2000,0.0265,0.0208,higher_friction_expected; e.g. cast-iron worm with cast-iron worm gear,high_quality_materials; e.g. case-hardened steel worm with phosphor-bronze gear,Estimated by manual digitization from Figure 13-42
