section,category,value
diametral_pitch,coarse,2
diametral_pitch,coarse,2.25
diametral_pitch,coarse,2.5
diametral_pitch,coarse,3
diametral_pitch,coarse,4
diametral_pitch,coarse,6
diametral_pitch,coarse,8
diametral_pitch,coarse,10
diametral_pitch,coarse,12
diametral_pitch,coarse,16
diametral_pitch,fine,20
diametral_pitch,fine,24
diametral_pitch,fine,32
diametral_pitch,fine,40
diametral_pitch,fine,48
diametral_pitch,fine,64
diametral_pitch,fine,80
diametral_pitch,fine,96
diametral_pitch,fine,120
diametral_pitch,fine,150
diametral_pitch,fine,200
module,preferred,1
module,preferred,1.25
module,preferred,1.5
module,preferred,2
module,preferred,2.5
module,preferred,3
module,preferred,4
module,preferred,5
module,preferred,6
module,preferred,8
module,preferred,10
module,preferred,12
module,preferred,16
module,preferred,20
module,preferred,25
module,preferred,32
module,preferred,40
module,preferred,50
module,next_choice,1.125
module,next_choice,1.375
module,next_choice,1.75
module,next_choice,2.25
module,next_choice,2.75
module,next_choice,3.5
module,next_choice,4.5
module,next_choice,5.5
module,next_choice,7
module,next_choice,9
module,next_choice,11
module,next_choice,14
module,next_choice,18
module,next_choice,22
module,next_choice,28
module,next_choice,36
module,next_choice,45
