L_over_D_label,L_over_D,epsilon,S,Qbar_L,Qbar_i,RC_over_C_times_f,Pbar_max,theta_max_deg,phi_deg,theta_cav_deg
2.000,2.0,0.05,1.1279,0.0551,1.0211,22.3219,1.555,102,77.25,234
2.000,2.0,0.1,0.5588,0.1088,1.0388,11.1382,3.1471,108,75.17,231
2.000,2.0,0.15,0.3678,0.1612,1.0532,7.4197,4.8076,111,73.1,231
2.000,2.0,0.2,0.2715,0.2123,1.0643,5.5694,6.565,117,71.03,228
2.000,2.0,0.25,0.213,0.2621,1.0724,4.464,8.4574,120,68.94,225
2.000,2.0,0.3,0.1733,0.3108,1.0772,3.7285,10.5356,126,66.85,225
2.000,2.0,0.35,0.1444,0.3584,1.0793,3.2049,12.8543,129,64.7,222
2.000,2.0,0.4,0.1221,0.4049,1.0786,2.8115,15.4881,132,62.49,219
2.000,2.0,0.45,0.1043,0.4503,1.0754,2.5033,18.5628,138,60.22,216
2.000,2.0,0.5,0.0894,0.4951,1.0692,2.2523,22.2276,141,57.86,216
2.000,2.0,0.55,0.0767,0.5389,1.0607,2.0417,26.7118,144,55.37,213
2.000,2.0,0.6,0.0656,0.582,1.05,1.8586,32.3784,147,52.72,210
2.000,2.0,0.65,0.0556,0.6242,1.0372,1.6943,39.8234,150,49.88,207
2.000,2.0,0.7,0.0464,0.6657,1.0241,1.5403,50.0931,153,46.78,204
2.000,2.0,0.75,0.0379,0.7065,1.0085,1.39,65.2006,156,43.34,204
2.000,2.0,0.8,0.0298,0.7467,0.9916,1.2364,89.4871,159,39.42,201
2.000,2.0,0.85,0.0221,0.7861,0.9739,1.0702,134.0831,162,34.82,198
2.000,2.0,0.9,0.0145,0.8249,0.9549,0.8769,238.3869,168,29.09,192
2.000,2.0,0.95,0.0071,0.8627,0.9361,0.6217,652.069,171,21.16,189
1.500,1.5,0.05,1.5448,0.0668,1.0285,30.5612,1.1627,99,79.41,225
1.500,1.5,0.1,0.7628,0.1325,1.0547,15.1862,2.3627,105,77.03,225
1.500,1.5,0.15,0.4998,0.1971,1.0786,10.0561,3.6295,111,74.66,222
1.500,1.5,0.2,0.3667,0.2607,1.1001,7.4864,4.9953,117,72.3,222
