mode_of_motion,oscillation_angle_band,pressure_band,velocity_min_fpm,velocity_max_fpm,f1_min,f1_max
Rotary,,720_or_less,0.0,3.3,1.0,1.0
Rotary,,720_or_less,3.3,33.0,1.0,1.3
Rotary,,720_or_less,33.0,100.0,1.3,1.8
Rotary,,720_to_3600,0.0,3.3,1.5,1.5
Rotary,,720_to_3600,3.3,33.0,1.5,2.0
Rotary,,720_to_3600,33.0,100.0,2.0,2.7
Oscillatory,>30,720_or_less,0.0,3.3,1.3,1.3
Oscillatory,>30,720_or_less,3.3,100.0,1.3,2.4
Oscillatory,<30,720_or_less,0.0,3.3,2.0,2.0
Oscillatory,<30,720_or_less,3.3,100.0,2.0,3.6
Oscillatory,>30,720_to_3600,0.0,3.3,2.0,2.0
Oscillatory,>30,720_to_3600,3.3,100.0,2.0,3.2
Oscillatory,<30,720_to_3600,0.0,3.3,3.0,3.0
Oscillatory,<30,720_to_3600,3.3,100.0,3.0,4.8
Reciprocating,,720_or_less,0.0,33.0,1.5,1.5
Reciprocating,,720_or_less,33.0,100.0,1.5,3.8
Reciprocating,,720_to_3600,0.0,33.0,2.0,2.0
Reciprocating,,720_to_3600,33.0,100.0,2.0,7.5
