material_key,material_label,astm_no,m,diameter_in_min,diameter_in_max,A_kpsi_in_m,relative_cost_min,relative_cost_max
music_wire,Music wire,A228,0.145,0.004,0.256,201,2.6,2.6
oqt_wire,OQ&T wire,A229,0.187,0.02,0.5,147,1.3,1.3
hard_drawn_wire,Hard-drawn wire,A227,0.19,0.028,0.5,140,1.0,1.0
chrome_vanadium_wire,Chrome-vanadium wire,A232,0.168,0.032,0.437,169,3.1,3.1
chrome_silicon_wire,Chrome-silicon wire,A401,0.108,0.063,0.375,202,4.0,4.0
stainless_302_wire_r1,302 Stainless wire,A313,0.146,0.013,0.1,169,7.6,11.0
stainless_302_wire_r2,302 Stainless wire,A313,0.263,0.1,0.2,128,7.6,11.0
stainless_302_wire_r3,302 Stainless wire,A313,0.478,0.2,0.4,90,7.6,11.0
phosphor_bronze_wire_r1,Phosphor-bronze wire,B159,0.0,0.004,0.022,145,8.0,8.0
phosphor_bronze_wire_r2,Phosphor-bronze wire,B159,0.028,0.022,0.075,121,8.0,8.0
phosphor_bronze_wire_r3,Phosphor-bronze wire,B159,0.064,0.075,0.3,110,8.0,8.0
