bearing_family,Fa_over_C0,e,X1,Y1,X2,Y2,source_note
deep_groove,0.014,0.19,1.00,0.00,0.56,2.30,Table 11-1 digitization from p576 exhibit
deep_groove,0.021,0.21,1.00,0.00,0.56,2.15,Table 11-1 digitization from p576 exhibit
deep_groove,0.028,0.22,1.00,0.00,0.56,1.99,Table 11-1 digitization from p576 exhibit
deep_groove,0.042,0.24,1.00,0.00,0.56,1.85,Table 11-1 digitization from p576 exhibit
deep_groove,0.056,0.26,1.00,0.00,0.56,1.71,Table 11-1 digitization from p576 exhibit
deep_groove,0.070,0.27,1.00,0.00,0.56,1.63,Table 11-1 digitization from p576 exhibit
deep_groove,0.084,0.28,1.00,0.00,0.56,1.55,Table 11-1 digitization from p576 exhibit
deep_groove,0.110,0.30,1.00,0.00,0.56,1.45,Table 11-1 digitization from p576 exhibit
deep_groove,0.170,0.34,1.00,0.00,0.56,1.31,Table 11-1 digitization from p576 exhibit
deep_groove,0.280,0.38,1.00,0.00,0.56,1.15,Table 11-1 digitization from p576 exhibit
deep_groove,0.420,0.42,1.00,0.00,0.56,1.04,Table 11-1 digitization from p576 exhibit
deep_groove,0.560,0.44,1.00,0.00,0.56,1.00,Table 11-1 digitization from p576 exhibit
angular_contact,0.014,0.19,1.00,0.00,0.56,2.30,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.021,0.21,1.00,0.00,0.56,2.15,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.028,0.22,1.00,0.00,0.56,1.99,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.042,0.24,1.00,0.00,0.56,1.85,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.056,0.26,1.00,0.00,0.56,1.71,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.070,0.27,1.00,0.00,0.56,1.63,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.084,0.28,1.00,0.00,0.56,1.55,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.110,0.30,1.00,0.00,0.56,1.45,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.170,0.34,1.00,0.00,0.56,1.31,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.280,0.38,1.00,0.00,0.56,1.15,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.420,0.42,1.00,0.00,0.56,1.04,Table 11-1 digitization from p576 exhibit duplicated for compatibility
angular_contact,0.560,0.44,1.00,0.00,0.56,1.00,Table 11-1 digitization from p576 exhibit duplicated for compatibility
