bore_mm,OD_mm,width_mm,C10_N,C0_thrust_N,K,a_mm,cone,cup,R_mm,B_mm,db_mm,da_mm,r_mm,C_mm,Db_mm,Da_mm,note_flags,source_note
25.000,52.000,16.250,8190,5260,1.56,-3.6,30205,30205,1.0,15.000,30.5,29.0,1.0,13.000,46.0,48.5,diamond cone+cup,Figure 11-15 digitization from p586-p587
25.000,52.000,19.250,9520,9510,1.00,-3.0,32205-B,32205-B,1.0,18.000,34.0,31.0,1.0,15.000,43.5,49.5,diamond cone+cup,Figure 11-15 digitization from p586-p587
25.000,52.000,22.000,13200,7960,1.66,-7.6,33205,33205,1.0,22.000,34.0,30.5,1.0,18.000,44.5,49.0,diamond cone+cup,Figure 11-15 digitization from p586-p587
25.000,62.000,18.250,13000,6680,1.95,-5.1,30305,30305,1.5,17.000,32.5,30.0,1.5,15.000,55.0,57.0,diamond cone+cup,Figure 11-15 digitization from p586-p587
25.000,62.000,25.250,17400,8930,1.95,-9.7,32305,32305,1.5,24.000,35.0,31.5,1.5,20.000,54.0,57.0,diamond cone+cup,Figure 11-15 digitization from p586-p587
25.159,50.005,13.495,6990,4810,1.45,-2.8,07096,07196,1.5,14.260,31.5,29.5,1.0,9.525,44.5,47.0,,Figure 11-15 digitization from p586-p587
25.400,50.005,13.495,6990,4810,1.45,-2.8,07100,07196,1.0,14.260,30.5,29.5,1.0,9.525,44.5,47.0,,Figure 11-15 digitization from p586-p587
25.400,50.005,13.495,6990,4810,1.45,-2.8,07100-S,07196,1.5,14.260,31.5,29.5,1.0,9.525,44.5,47.0,,Figure 11-15 digitization from p586-p587
25.400,50.292,14.224,7210,4620,1.56,-3.3,L44642,L44610,3.5,14.732,36.0,29.5,1.3,10.668,44.5,47.0,,Figure 11-15 digitization from p586-p587
25.400,50.292,14.224,7210,4620,1.56,-3.3,L44643,L44610,1.3,14.732,31.5,29.5,1.3,10.668,44.5,47.0,,Figure 11-15 digitization from p586-p587
25.400,51.994,15.011,6990,4810,1.45,-2.8,07100,07204,1.0,14.260,30.5,29.5,1.3,12.700,45.0,48.0,,Figure 11-15 digitization from p586-p587
25.400,56.896,19.368,10900,5740,1.90,-6.9,1780,1729,0.8,19.837,30.5,30.0,1.3,15.875,49.0,51.0,,Figure 11-15 digitization from p586-p587
25.400,57.150,19.431,11700,10900,1.07,-3.0,M84548,M84510,1.5,19.431,36.0,33.0,1.5,14.732,48.5,54.0,,Figure 11-15 digitization from p586-p587
25.400,58.738,19.050,11600,6560,1.77,-5.8,1986,1932,1.3,19.355,32.5,30.5,1.3,15.080,52.0,54.0,,Figure 11-15 digitization from p586-p587
25.400,59.530,23.368,13900,13000,1.07,-5.1,M84249,M84210,0.8,23.114,36.0,32.5,1.5,18.288,49.5,56.0,,Figure 11-15 digitization from p586-p587
25.400,60.325,19.842,11000,6550,1.69,-5.1,15578,15523,1.3,17.462,32.5,30.5,1.5,15.875,51.0,54.0,,Figure 11-15 digitization from p586-p587
25.400,61.912,19.050,12100,7280,1.67,-5.8,15101,15243,0.8,20.638,32.5,31.5,2.0,14.288,54.0,58.0,,Figure 11-15 digitization from p586-p587
25.400,62.000,19.050,12100,7280,1.67,-5.8,15100,15245,3.5,20.638,38.0,31.5,1.3,14.288,55.0,58.0,,Figure 11-15 digitization from p586-p587
25.400,62.000,19.050,12100,7280,1.67,-5.8,15101,15245,0.8,20.638,32.5,31.5,1.3,14.288,55.0,58.0,,Figure 11-15 digitization from p586-p587
25.400,62.000,19.050,12100,7280,1.67,-5.8,15102,15245,1.5,20.638,34.0,31.5,1.3,14.288,55.0,58.0,,Figure 11-15 digitization from p586-p587
25.400,62.000,20.638,12100,7280,1.67,-5.8,15101,15244,0.8,20.638,32.5,31.5,1.3,15.875,55.0,58.0,,Figure 11-15 digitization from p586-p587
25.400,63.500,20.638,12100,7280,1.67,-5.8,15101,15250,0.8,20.638,32.5,31.5,1.3,15.875,56.0,59.0,,Figure 11-15 digitization from p586-p587
25.400,63.500,20.638,12100,7280,1.67,-5.8,15101,15250X,0.8,20.638,32.5,31.5,1.5,15.875,55.0,59.0,,Figure 11-15 digitization from p586-p587
25.400,64.292,21.433,14500,13500,1.07,-3.3,M86643,M86610,1.5,21.433,38.0,36.5,1.5,16.670,54.0,61.0,,Figure 11-15 digitization from p586-p587
25.400,65.088,22.225,13100,16400,0.80,-2.3,23100,23256,1.5,21.463,39.0,34.5,1.5,15.875,53.0,63.0,,Figure 11-15 digitization from p586-p587
25.400,66.421,23.812,18400,8000,2.30,-9.4,2687,2631,1.3,25.433,33.5,31.5,1.3,19.050,58.0,60.0,,Figure 11-15 digitization from p586-p587
25.400,68.262,22.225,15300,10900,1.40,-5.1,02473,02420,0.8,22.225,34.5,33.5,1.5,17.462,59.0,63.0,,Figure 11-15 digitization from p586-p587
25.400,72.233,25.400,18400,17200,1.07,-4.6,HM88630,HM88610,0.8,25.400,39.5,39.5,2.3,19.842,60.0,69.0,,Figure 11-15 digitization from p586-p587
25.400,72.626,30.162,22700,13000,1.76,-10.2,3189,3120,0.8,29.997,35.5,35.0,3.3,23.812,61.0,67.0,,Figure 11-15 digitization from p586-p587
26.157,62.000,19.050,12100,7280,1.67,-5.8,15103,15245,0.8,20.638,33.0,32.5,1.3,14.288,55.0,58.0,,Figure 11-15 digitization from p586-p587
26.162,63.100,23.812,18400,8000,2.30,-9.4,2682,2630,1.5,25.433,34.5,32.0,0.8,19.050,57.0,59.0,,Figure 11-15 digitization from p586-p587
