nominal_major_diameter_d_mm,coarse_pitch_p_mm,coarse_tensile_stress_area_At_mm2,coarse_minor_diameter_area_Ar_mm2,fine_pitch_p_mm,fine_tensile_stress_area_At_mm2,fine_minor_diameter_area_Ar_mm2
1.6,0.35,1.27,1.07,,,
2,0.4,2.07,1.79,,,
2.5,0.45,3.39,2.98,,,
3,0.5,5.03,4.47,,,
3.5,0.6,6.78,6.0,,,
4,0.7,8.78,7.75,,,
5,0.8,14.2,12.7,,,
6,1,20.1,17.9,,,
8,1.25,36.6,32.8,1,39.2,36.0
10,1.5,58.0,52.3,1.25,61.2,56.3
12,1.75,84.3,76.3,1.25,92.1,86.0
14,2,115,104,1.5,125,116
16,2,157,144,1.5,167,157
20,2.5,245,225,1.5,272,259
24,3,353,324,2,384,365
30,3.5,561,519,2,621,596
36,4,817,759,2,915,884
42,4.5,1120,1050,2,1260,1230
48,5,1470,1380,2,1670,1630
56,5.5,2030,1910,2,2300,2250
64,6,2680,2520,2,3030,2980
72,6,3460,3280,2,3860,3800
80,6,4340,4140,1.5,4850,4800
90,6,5590,5360,2,6100,6020
100,6,6990,6740,2,7560,7470
110,,,,2,9180,9080
