astm_designation_no,size_range_inclusive_in,minimum_proof_strength_kpsi,minimum_tensile_strength_kpsi,minimum_yield_strength_kpsi,material,head_marking
A307,1/4-1 1/2,33,60,36,Low carbon,No marking
"A325, type 1",1/2-1,85,120,92,"Medium carbon, Q&T",A325
"A325, type 1",1 1/8-1 1/2,74,105,81,"Medium carbon, Q&T",A325
"A325, type 2",1/2-1,85,120,92,"Low-carbon, martensite, Q&T",A325 with 1 radial line
"A325, type 2",1 1/8-1 1/2,74,105,81,"Low-carbon, martensite, Q&T",A325 with 1 radial line
"A325, type 3",1/2-1,85,120,92,"Weathering steel, Q&T",A325
"A325, type 3",1 1/8-1 1/2,74,105,81,"Weathering steel, Q&T",A325
"A354, grade BC",1/4-2 1/2,105,125,109,"Alloy steel, Q&T",BC
"A354, grade BC",2 3/4-4,95,115,99,"Alloy steel, Q&T",BC
"A354, grade BD",1/4-4,120,150,130,"Alloy steel, Q&T",6 radial lines
A449,1/4-1,85,120,92,"Medium-carbon, Q&T",3 radial lines
A449,1 1/8-1 1/2,74,105,81,"Medium-carbon, Q&T",3 radial lines
A449,1 3/4-3,55,90,58,"Medium-carbon, Q&T",3 radial lines
"A490, type 1",1/2-1 1/2,120,150,130,"Alloy steel, Q&T",A490
"A490, type 3",1/2-1 1/2,120,150,130,"Weathering steel, Q&T",A490
