size_designation,nominal_major_diameter_in,unc_threads_per_inch_N,unc_tensile_stress_area_At_in2,unc_minor_diameter_area_Ar_in2,unf_threads_per_inch_N,unf_tensile_stress_area_At_in2,unf_minor_diameter_area_Ar_in2
0,0.06,,,,80,0.0018,0.00151
1,0.073,64,0.00263,0.00218,72,0.00278,0.00237
2,0.086,56,0.0037,0.0031,64,0.00394,0.00339
3,0.099,48,0.00487,0.00406,56,0.00523,0.00451
4,0.112,40,0.00604,0.00496,48,0.00661,0.00566
5,0.125,40,0.00796,0.00672,44,0.0088,0.00716
6,0.138,32,0.00909,0.00745,40,0.01015,0.00874
8,0.164,32,0.014,0.01196,36,0.01474,0.01285
10,0.19,24,0.0175,0.0145,32,0.02,0.0175
12,0.216,24,0.0242,0.0206,28,0.0258,0.0226
1/4,0.25,20,0.0318,0.0269,28,0.0364,0.0326
5/16,0.3125,18,0.0524,0.0454,24,0.058,0.0524
3/8,0.375,16,0.0775,0.0678,24,0.0878,0.0809
7/16,0.4375,14,0.1063,0.0933,20,0.1187,0.109
1/2,0.5,13,0.1419,0.1257,20,0.1599,0.1486
9/16,0.5625,12,0.182,0.162,18,0.203,0.189
5/8,0.625,11,0.226,0.202,18,0.256,0.24
3/4,0.75,10,0.334,0.302,16,0.373,0.351
7/8,0.875,9,0.462,0.419,14,0.509,0.48
1,1.0,8,0.606,0.551,12,0.663,0.625
1 1/4,1.25,7,0.969,0.89,12,1.073,1.024
1 1/2,1.5,6,1.405,1.294,12,1.581,1.521
