section,label,value,series,choice_order,notes
fraction_of_inches,1/64,0.015625,,,
fraction_of_inches,1/32,0.03125,,,
fraction_of_inches,1/16,0.0625,,,
fraction_of_inches,3/32,0.09375,,,
fraction_of_inches,1/8,0.125,,,
fraction_of_inches,5/32,0.15625,,,
fraction_of_inches,3/16,0.1875,,,
fraction_of_inches,1/4,0.25,,,
fraction_of_inches,5/16,0.3125,,,
fraction_of_inches,3/8,0.375,,,
fraction_of_inches,7/16,0.4375,,,
fraction_of_inches,1/2,0.5,,,
fraction_of_inches,9/16,0.5625,,,
fraction_of_inches,5/8,0.625,,,
fraction_of_inches,11/16,0.6875,,,
fraction_of_inches,3/4,0.75,,,
fraction_of_inches,7/8,0.875,,,
fraction_of_inches,1,1.0,,,
fraction_of_inches,1 1/4,1.25,,,
fraction_of_inches,1 1/2,1.5,,,
fraction_of_inches,1 3/4,1.75,,,
fraction_of_inches,2,2.0,,,
fraction_of_inches,2 1/4,2.25,,,
fraction_of_inches,2 1/2,2.5,,,
fraction_of_inches,2 3/4,2.75,,,
fraction_of_inches,3,3.0,,,
fraction_of_inches,3 1/4,3.25,,,
fraction_of_inches,3 1/2,3.5,,,
fraction_of_inches,3 3/4,3.75,,,
fraction_of_inches,4,4.0,,,
fraction_of_inches,4 1/4,4.25,,,
fraction_of_inches,4 1/2,4.5,,,
fraction_of_inches,4 3/4,4.75,,,
fraction_of_inches,5,5.0,,,
fraction_of_inches,5 1/4,5.25,,,
fraction_of_inches,5 1/2,5.5,,,
fraction_of_inches,5 3/4,5.75,,,
fraction_of_inches,6,6.0,,,
fraction_of_inches,6 1/2,6.5,,,
fraction_of_inches,7,7.0,,,
fraction_of_inches,7 1/2,7.5,,,
fraction_of_inches,8,8.0,,,
fraction_of_inches,8 1/2,8.5,,,
fraction_of_inches,9,9.0,,,
fraction_of_inches,9 1/2,9.5,,,
fraction_of_inches,10,10.0,,,
fraction_of_inches,10 1/2,10.5,,,
fraction_of_inches,11,11.0,,,
fraction_of_inches,11 1/2,11.5,,,
fraction_of_inches,12,12.0,,,
fraction_of_inches,12 1/2,12.5,,,
fraction_of_inches,13,13.0,,,
fraction_of_inches,13 1/2,13.5,,,
fraction_of_inches,14,14.0,,,
fraction_of_inches,14 1/2,14.5,,,
fraction_of_inches,15,15.0,,,
fraction_of_inches,15 1/2,15.5,,,
fraction_of_inches,16,16.0,,,
fraction_of_inches,16 1/2,16.5,,,
fraction_of_inches,17,17.0,,,
fraction_of_inches,17 1/2,17.5,,,
fraction_of_inches,18,18.0,,,
fraction_of_inches,18 1/2,18.5,,,
fraction_of_inches,19,19.0,,,
fraction_of_inches,19 1/2,19.5,,,
fraction_of_inches,20,20.0,,,
decimal_inches,0.01,0.01,,,
decimal_inches,0.012,0.012,,,
decimal_inches,0.016,0.016,,,
decimal_inches,0.02,0.02,,,
decimal_inches,0.025,0.025,,,
decimal_inches,0.032,0.032,,,
decimal_inches,0.04,0.04,,,
decimal_inches,0.05,0.05,,,
decimal_inches,0.06,0.06,,,
decimal_inches,0.08,0.08,,,
decimal_inches,0.1,0.1,,,
decimal_inches,0.12,0.12,,,
decimal_inches,0.16,0.16,,,
decimal_inches,0.2,0.2,,,
decimal_inches,0.24,0.24,,,
decimal_inches,0.3,0.3,,,
decimal_inches,0.4,0.4,,,
decimal_inches,0.5,0.5,,,
decimal_inches,0.6,0.6,,,
decimal_inches,0.8,0.8,,,
decimal_inches,1.0,1.0,,,
decimal_inches,1.2,1.2,,,
decimal_inches,1.4,1.4,,,
decimal_inches,1.6,1.6,,,
decimal_inches,1.8,1.8,,,
decimal_inches,2.0,2.0,,,
decimal_inches,2.4,2.4,,,
decimal_inches,2.6,2.6,,,
decimal_inches,2.8,2.8,,,
decimal_inches,3.0,3.0,,,
decimal_inches,3.2,3.2,,,
decimal_inches,3.4,3.4,,,
decimal_inches,3.6,3.6,,,
decimal_inches,3.8,3.8,,,
decimal_inches,4.0,4.0,,,
decimal_inches,4.2,4.2,,,
decimal_inches,4.4,4.4,,,
decimal_inches,4.6,4.6,,,
decimal_inches,4.8,4.8,,,
decimal_inches,5.0,5.0,,,
decimal_inches,5.2,5.2,,,
decimal_inches,5.4,5.4,,,
decimal_inches,5.6,5.6,,,
decimal_inches,5.8,5.8,,,
decimal_inches,6.0,6.0,,,
decimal_inches,7.0,7.0,,,
decimal_inches,7.5,7.5,,,
decimal_inches,8.5,8.5,,,
decimal_inches,9.0,9.0,,,
decimal_inches,9.5,9.5,,,
decimal_inches,10.0,10.0,,,
decimal_inches,10.5,10.5,,,
decimal_inches,11.0,11.0,,,
decimal_inches,11.5,11.5,,,
decimal_inches,12.0,12.0,,,
decimal_inches,12.5,12.5,,,
decimal_inches,13.0,13.0,,,
decimal_inches,13.5,13.5,,,
decimal_inches,14.0,14.0,,,
decimal_inches,14.5,14.5,,,
decimal_inches,15.0,15.0,,,
decimal_inches,15.5,15.5,,,
decimal_inches,16.0,16.0,,,
decimal_inches,16.5,16.5,,,
decimal_inches,17.0,17.0,,,
decimal_inches,17.5,17.5,,,
decimal_inches,18.0,18.0,,,
decimal_inches,18.5,18.5,,,
decimal_inches,19.0,19.0,,,
decimal_inches,19.5,19.5,,,
decimal_inches,20.0,20.0,,,
millimeters,0.05,0.05,,,
millimeters,0.06,0.06,,,
millimeters,0.08,0.08,,,
millimeters,0.1,0.1,,,
millimeters,0.12,0.12,,,
millimeters,0.16,0.16,,,
millimeters,0.2,0.2,,,
millimeters,0.25,0.25,,,
millimeters,0.3,0.3,,,
millimeters,0.4,0.4,,,
millimeters,0.5,0.5,,,
millimeters,0.6,0.6,,,
millimeters,0.7,0.7,,,
millimeters,0.8,0.8,,,
millimeters,0.9,0.9,,,
millimeters,1.0,1.0,,,
millimeters,1.1,1.1,,,
millimeters,1.2,1.2,,,
millimeters,1.4,1.4,,,
millimeters,1.5,1.5,,,
millimeters,1.6,1.6,,,
millimeters,1.8,1.8,,,
millimeters,2.0,2.0,,,
millimeters,2.2,2.2,,,
millimeters,2.5,2.5,,,
millimeters,2.8,2.8,,,
millimeters,3.0,3.0,,,
millimeters,3.5,3.5,,,
millimeters,4.0,4.0,,,
millimeters,4.5,4.5,,,
millimeters,5.0,5.0,,,
millimeters,5.5,5.5,,,
millimeters,6.0,6.0,,,
millimeters,6.5,6.5,,,
millimeters,7.0,7.0,,,
millimeters,8.0,8.0,,,
millimeters,9.0,9.0,,,
millimeters,10,10.0,,,
millimeters,11,11.0,,,
millimeters,12,12.0,,,
millimeters,14,14.0,,,
millimeters,16,16.0,,,
millimeters,18,18.0,,,
millimeters,20,20.0,,,
millimeters,22,22.0,,,
millimeters,25,25.0,,,
millimeters,28,28.0,,,
millimeters,30,30.0,,,
millimeters,32,32.0,,,
millimeters,35,35.0,,,
millimeters,40,40.0,,,
millimeters,45,45.0,,,
millimeters,50,50.0,,,
millimeters,60,60.0,,,
millimeters,80,80.0,,,
millimeters,100,100.0,,,
millimeters,120,120.0,,,
millimeters,140,140.0,,,
millimeters,160,160.0,,,
millimeters,180,180.0,,,
millimeters,200,200.0,,,
millimeters,250,250.0,,,
millimeters,300,300.0,,,
renard_numbers,1,1.0,R5,1,May be multiplied or divided by powers of 10.
renard_numbers,1.6,1.6,R5,1,May be multiplied or divided by powers of 10.
renard_numbers,2.5,2.5,R5,1,May be multiplied or divided by powers of 10.
renard_numbers,4,4.0,R5,1,May be multiplied or divided by powers of 10.
renard_numbers,6.3,6.3,R5,1,May be multiplied or divided by powers of 10.
renard_numbers,10,10.0,R5,1,May be multiplied or divided by powers of 10.
renard_numbers,1.25,1.25,R10,2,May be multiplied or divided by powers of 10.
renard_numbers,2,2.0,R10,2,May be multiplied or divided by powers of 10.
renard_numbers,3.15,3.15,R10,2,May be multiplied or divided by powers of 10.
renard_numbers,5,5.0,R10,2,May be multiplied or divided by powers of 10.
renard_numbers,8,8.0,R10,2,May be multiplied or divided by powers of 10.
renard_numbers,1.12,1.12,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,1.4,1.4,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,1.8,1.8,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,2.24,2.24,R20,3,May be multiplied or divided by powers of 10.
