system,nominal_size_in_label,nominal_size_in,nominal_size_mm_label,nominal_size_mm,width_W_label,width_W_value,height_regular_hex_label,height_regular_hex_value,height_thick_or_slotted_label,height_thick_or_slotted_value,height_jam_label,height_jam_value
inch,1/4,0.25,,,7/16,0.4375,7/32,0.21875,9/32,0.28125,5/32,0.15625
inch,5/16,0.3125,,,1/2,0.5,17/64,0.265625,21/64,0.328125,3/16,0.1875
inch,3/8,0.375,,,9/16,0.5625,21/64,0.328125,13/32,0.40625,7/32,0.21875
inch,7/16,0.4375,,,11/16,0.6875,3/8,0.375,29/64,0.453125,1/4,0.25
inch,1/2,0.5,,,3/4,0.75,7/16,0.4375,9/16,0.5625,5/16,0.3125
inch,9/16,0.5625,,,7/8,0.875,31/64,0.484375,39/64,0.609375,5/16,0.3125
inch,5/8,0.625,,,15/16,0.9375,35/64,0.546875,23/32,0.71875,3/8,0.375
inch,3/4,0.75,,,1 1/8,1.125,41/64,0.640625,13/16,0.8125,27/64,0.421875
inch,7/8,0.875,,,1 5/16,1.3125,3/4,0.75,29/32,0.90625,31/64,0.484375
inch,1,1.0,,,1 1/2,1.5,55/64,0.859375,1,1.0,35/64,0.546875
inch,1 1/8,1.125,,,1 11/16,1.6875,31/32,0.96875,1 5/32,1.15625,39/64,0.609375
inch,1 1/4,1.25,,,1 7/8,1.875,1 1/16,1.0625,1 1/4,1.25,23/32,0.71875
inch,1 3/8,1.375,,,2 1/16,2.0625,1 11/64,1.171875,1 3/8,1.375,25/32,0.78125
inch,1 1/2,1.5,,,2 1/4,2.25,1 9/32,1.28125,1 1/2,1.5,27/32,0.84375
metric,,,M5,5.0,8,8.0,4.7,4.7,5.1,5.1,2.7,2.7
metric,,,M6,6.0,10,10.0,5.2,5.2,5.7,5.7,3.2,3.2
metric,,,M8,8.0,13,13.0,6.8,6.8,7.5,7.5,4.0,4.0
metric,,,M10,10.0,16,16.0,8.4,8.4,9.3,9.3,5.0,5.0
metric,,,M12,12.0,18,18.0,10.8,10.8,12.0,12.0,6.0,6.0
metric,,,M14,14.0,21,21.0,12.8,12.8,14.1,14.1,7.0,7.0
metric,,,M16,16.0,24,24.0,14.8,14.8,16.4,16.4,8.0,8.0
metric,,,M20,20.0,30,30.0,18.0,18.0,20.3,20.3,10.0,10.0
metric,,,M24,24.0,36,36.0,21.5,21.5,23.9,23.9,12.0,12.0
metric,,,M30,30.0,46,46.0,25.6,25.6,28.6,28.6,15.0,15.0
metric,,,M36,36.0,55,55.0,31.0,31.0,34.7,34.7,18.0,18.0
