material,modulus_of_elasticity_mpsi,modulus_of_elasticity_gpa,modulus_of_rigidity_mpsi,modulus_of_rigidity_gpa,poissons_ratio,unit_weight_lbf_per_in3,unit_weight_lbf_per_ft3,unit_weight_kn_per_m3
Aluminum (all alloys),10.4,71.7,3.9,26.9,0.333,0.098,169,26.6
Beryllium copper,18.0,124.0,7.0,48.3,0.285,0.297,513,80.6
Brass,15.4,106.0,5.82,40.1,0.324,0.309,534,83.8
Carbon steel,30.0,207.0,11.5,79.3,0.292,0.282,487,76.5
Cast iron (gray),14.5,100.0,6.0,41.4,0.211,0.260,450,70.6
Copper,17.2,119.0,6.49,44.7,0.326,0.322,556,87.3
Douglas fir,1.6,11.0,0.6,4.1,0.33,0.016,28,4.3
Glass,6.7,46.2,2.7,18.6,0.245,0.094,162,25.4
Inconel,31.0,214.0,11.0,75.8,0.290,0.307,530,83.3
Lead,5.3,36.5,1.9,13.1,0.425,0.411,710,111.5
Magnesium,6.5,44.8,2.4,16.5,0.350,0.065,112,17.6
Molybdenum,48.0,331.0,17.0,117.0,0.307,0.368,636,100.0
Monel metal,26.0,179.0,9.5,65.5,0.320,0.319,551,86.6
Nickel silver,18.5,127.0,7.0,48.3,0.322,0.316,546,85.8
Nickel steel,30.0,207.0,11.5,79.3,0.291,0.280,484,76.0
Phosphor bronze,16.1,111.0,6.0,41.4,0.349,0.295,510,80.1
Stainless steel (18-8),27.6,190.0,10.6,73.1,0.305,0.280,484,76.0
Titanium alloys,16.5,114.0,6.2,42.4,0.340,0.160,276,43.4
