adhesive_chemistry_or_type,lap_shear_strength_MPa_min,lap_shear_strength_MPa_max,lap_shear_strength_psi_min,lap_shear_strength_psi_max,peel_strength_kN_per_m_min,peel_strength_kN_per_m_max,peel_strength_lbf_per_in_min,peel_strength_lbf_per_in_max
Pressure-sensitive,0.01,0.07,2,10,0.18,0.88,1,5
Starch-based,0.07,0.7,10,100,0.18,0.88,1,5
Cellosics,0.35,3.5,50,500,0.18,1.8,1,10
Rubber-based,0.35,3.5,50,500,1.8,7,10,40
Formulated hot melt,0.35,4.8,50,700,0.88,3.5,5,20
Synthetically designed hot melt,0.7,6.9,100,1000,0.88,3.5,5,20
PVAc emulsion (white glue),1.4,6.9,200,1000,0.88,1.8,5,10
Cyanoacrylate,6.9,13.8,1000,2000,0.18,3.5,1,20
Protein-based,6.9,13.8,1000,2000,0.18,1.8,1,10
Anaerobic acrylic,6.9,13.8,1000,2000,0.18,1.8,1,10
Urethane,6.9,17.2,1000,2500,1.8,8.8,10,50
Rubber-modified acrylic,13.8,24.1,2000,3500,1.8,8.8,10,50
Modified phenolic,13.8,27.6,2000,4000,3.6,7,20,40
Unmodified epoxy,10.3,27.6,1500,4000,0.35,1.8,2,10
Bis-maleimide,13.8,27.6,2000,4000,0.18,3.5,1,20
Polyimide,13.8,27.6,2000,4000,0.18,0.88,1,5
Rubber-modified epoxy,20.7,41.4,3000,6000,4.4,14,25,80
